employee_id,employee_code,first_name,last_name,email,phone,department,job_title,grade,approval_limit,hire_date,active,location,certification,nationality,years_experience,cost_center,created_date
EMP-000001,PRJ00001,Clayton,Wagner,prj00001@company.com,804-233-2181,PROJECTS,Project Coordinator,L1,10000.0,2016-03-03,True,Head Office,PMP,Bangladeshi,28,CC-PRJ-132,2016-03-03
EMP-000002,PRO00002,Ricky,Lewis,pro00002@company.com,+1-438-863-7940,PROCUREMENT,Buyer,L1,10000.0,2021-05-02,True,Site Office B,,Sudanese,27,CC-PRO-325,2021-05-02
EMP-000003,ENG00003,Leigh,آل محمد بن علي بن جماز,eng00003@company.com,01154960161,ENGINEERING,Engineer,L1,10000.0,2010-02-23,True,Head Office,,Filipino,10,CC-ENG-320,2010-02-23
EMP-000004,CTR00004,Jason,Delacruz,ctr00004@company.com,001-278-516-1849x5931,CONTRACTS,Contract Specialist,L2,50000.0,2012-01-30,True,Site Office A,,British,17,CC-CTR-926,2012-01-30
EMP-000005,PRO00005,Owen,Santiago,pro00005@company.com,+44(0)1184960752,PROCUREMENT,Senior Buyer,L2,50000.0,2012-10-19,False,Site Office A,,Bangladeshi,24,CC-PRO-691,2012-10-19
EMP-000006,PRO00006,Joanne,Collins,pro00006@company.com,+1-519-228-3276x48350,PROCUREMENT,Buyer,L1,10000.0,2015-02-10,True,Field Camp,,Indian,25,CC-PRO-384,2015-02-10
EMP-000007,FIN00007,لؤي,Lloyd,fin00007@company.com,001-653-876-7242x388,FINANCE,Cost Controller,L4,1000000.0,2013-08-25,True,Head Office,CPA,Bangladeshi,11,CC-FIN-646,2013-08-25
EMP-000008,PRJ00008,ناردين,Maldonado,prj00008@company.com,671.201.2269x16697,PROJECTS,Project Coordinator,L1,10000.0,2018-07-06,True,Field Camp,,Egyptian,21,CC-PRJ-963,2018-07-06
EMP-000009,HSE00009,Nathaniel,Ryan,hse00009@company.com,001-645-514-6270x48281,HSE,HSE Officer,L1,10000.0,2010-09-20,True,Site Office A,ISO 45001 Lead Auditor,British,14,CC-HSE-771,2010-09-20
EMP-000010,FIN00010,ذريع,Dennis,fin00010@company.com,2955701543,FINANCE,Finance Manager,L5,10000000.0,2020-04-16,True,Head Office,,Sudanese,17,CC-FIN-864,2020-04-16
