grn_id,po_id,line_item_id,vendor_id,project_id,material_id,receipt_date,qty_delivered,qty_accepted,qty_rejected,grn_status,inspection_result,inspection_certificate,delivery_note_ref,storage_location,received_by,remarks,damage_flag,temperature_check,created_date
GRN-2024-0000001,PO-2019-0000424,PO-2019-0000424-L010,VND-000896,PRJ-2023-00240,MAT-00000969,2024-02-22,378,378,0,INSPECTED,PASSED,CERT-14265799,DN-104POI,SITE-E-WAREHOUSE-SEC-01,Megan Mcclain,Opportunity all behavior.,False,False,2024-02-22
GRN-2019-0000002,PO-2021-0000594,PO-2021-0000594-L006,VND-000515,PRJ-2024-00280,MAT-00000691,2019-08-18,113,113,0,ACCEPTED,PASSED,CERT-10872248,DN-389BJM,SITE-E-WAREHOUSE-SEC-03,Meredith Barnes,,False,False,2019-08-18
GRN-2021-0000003,PO-2019-0000441,PO-2019-0000441-L016,VND-000251,PRJ-2022-00017,MAT-00000496,2021-02-19,195,195,0,RECEIVED,PASSED,CERT-15831819,DN-794ZAW,SITE-C-WAREHOUSE-SEC-03,Melissa Peterson,,False,False,2021-02-19
GRN-2022-0000004,PO-2024-0000305,PO-2024-0000305-L016,VND-000947,PRJ-2019-00676,MAT-00000485,2022-07-05,442,442,0,ACCEPTED,PASSED,CERT-16150444,DN-235GFY,SITE-E-WAREHOUSE-SEC-02,Ryan Munoz,,False,False,2022-07-05
GRN-2025-0000005,PO-2019-0000791,PO-2019-0000791-L007,VND-000924,PRJ-2020-00142,MAT-00000361,2025-07-06,428,428,0,ACCEPTED,PASSED,CERT-99949389,DN-078HYF,SITE-B-WAREHOUSE-SEC-03,Sandra Montgomery,,False,False,2025-07-06
GRN-2023-0000006,PO-2023-0000615,PO-2023-0000615-L007,VND-000952,PRJ-2023-00176,MAT-00000953,2023-05-19,195,195,0,INSPECTED,PASSED,CERT-17507864,DN-593TEC,SITE-E-WAREHOUSE-SEC-02,Patricia Galloway,,True,False,2023-05-19
GRN-2021-0000007,PO-2024-0000305,PO-2024-0000305-L003,VND-000947,PRJ-2019-00676,MAT-00000881,2021-04-19,162,0,162,REJECTED,FAILED,,DN-316RDO,SITE-D-WAREHOUSE-SEC-04,Carla Kelly,,False,False,2021-04-19
GRN-2024-0000008,PO-2021-0000594,PO-2021-0000594-L006,VND-000515,PRJ-2024-00280,MAT-00000691,2024-07-23,299,299,0,ACCEPTED,PASSED,CERT-28566572,DN-419OKI,SITE-C-WAREHOUSE-SEC-02,Carla Gray,,False,True,2024-07-23
GRN-2019-0000009,PO-2019-0000441,PO-2019-0000441-L013,VND-000251,PRJ-2022-00017,MAT-00000547,2019-07-17,33,33,0,ACCEPTED,PASSED,CERT-81016525,DN-835XXD,SITE-D-WAREHOUSE-SEC-05,Andrew Stewart,,False,False,2019-07-17
GRN-2024-0000010,PO-2022-0000447,PO-2022-0000447-L007,VND-000723,PRJ-2022-00149,MAT-00000225,2024-06-23,394,329,65,PARTIALLY_ACCEPTED,PASSED,CERT-70897765,DN-413KTU,SITE-A-WAREHOUSE-SEC-03,Jonathan Wilkerson,Central cause seat much section.,False,False,2024-06-23
