po_id,po_type,po_status,priority,vendor_id,project_id,po_date,delivery_date,approval_date,po_value,tax_rate,tax_amount,total_value,currency,payment_terms,delivery_terms,description,buyer_name,requisition_ref,ship_to_address,notes,created_date
PO-2024-0000001,STANDARD,APPROVED,URGENT,VND-000159,PRJ-2024-00693,2023-09-25,2023-10-17,2023-09-26,440672.38,0.0,0.0,440672.38,USD,NET-30,FOB,Agent every development say quality.,Angie Henderson,REQ-2024-731262,"89083 Robinson Radial, Lisatown, WV 21427",Future choice whatever from behavior benefit.,2023-09-25
PO-2020-0000002,EMERGENCY,COMPLETED,CRITICAL,VND-000741,PRJ-2021-00604,2019-01-27,2019-03-22,2019-02-08,205681.23,0.1,20568.12,226249.35,USD,NET-60,FOB,Page southern role movie win her need stop.,Shannon Ray,REQ-2020-325772,"341 Michelle Light, Shawnstad, GA 49021",,2019-01-27
PO-2021-0000003,STANDARD,ISSUED,NORMAL,VND-000427,PRJ-2019-00827,2024-02-25,2024-07-25,2024-02-27,528197.87,0.0,0.0,528197.87,USD,LC-90-DAYS,CIF,Decide environment view possible participant commercial rock clear.,William Bowman,REQ-2021-678856,"30564 Jason Port Suite 376, Thomasberg, IA 98148",Much section investment on gun young catch.,2024-02-25
PO-2024-0000004,BLANKET,PARTIALLY_RECEIVED,URGENT,VND-000072,PRJ-2020-00678,2022-03-31,2022-05-04,2022-04-14,1510023.58,0.05,75501.18,1585524.76,EUR,NET-30,FOB,Before another body physical society instead as high you.,Tricia Valencia,REQ-2024-391476,"845 Kelly Estate, Smithview, NY 23917",,2022-03-31
PO-2021-0000005,STANDARD,PARTIALLY_RECEIVED,NORMAL,VND-000110,PRJ-2021-00624,2024-12-27,2025-03-13,2024-12-30,183325.03,0.05,9166.25,192491.28,EUR,NET-60,FOB,Tree that fear police participant check several much single.,April Nguyen,REQ-2021-771088,"3039 Christopher Oval Apt. 822, Arroyoburgh, KS 69664",,2024-12-27
PO-2020-0000006,BLANKET,COMPLETED,URGENT,VND-000050,PRJ-2019-00825,2023-07-02,2023-09-22,2023-07-04,183328.64,0.1,18332.86,201661.5,USD,NET-30,DAP,Institution deep much role cut find yet practice just military.,Danny Morgan,REQ-2020-852787,"301 Jeremy Bypass, Chadbury, KY 88185",,2023-07-02
PO-2024-0000007,STANDARD,PARTIALLY_RECEIVED,URGENT,VND-000219,PRJ-2024-00253,2023-10-21,2024-04-01,2023-10-28,1615338.97,0.1,161533.9,1776872.87,USD,NET-60,DAP,Democrat car very number line six space couple best.,Jeff Owens,REQ-2024-245051,"65133 Amanda Dam, Whitemouth, IA 10381",,2023-10-21
PO-2019-0000008,EMERGENCY,COMPLETED,CRITICAL,VND-000254,PRJ-2020-00812,2019-09-18,2020-01-08,2019-09-25,609821.56,0.15,91473.23,701294.79,USD,NET-90,CIF,Space task better present music address behavior send door.,John Hancock,REQ-2019-363626,"PSC 2606, Box 4746, APO AP 96249",,2019-09-18
PO-2019-0000009,BLANKET,COMPLETED,NORMAL,VND-000553,PRJ-2024-00115,2023-11-16,2024-01-09,2023-11-24,138223.99,0.1,13822.4,152046.39,EUR,NET-30,DDP,Product main couple design around save article finish anyone live.,Kim Brown,REQ-2019-854639,"91361 Beth Canyon, South Dianeshire, NC 41968",Daughter respond draw how public.,2023-11-16
PO-2023-0000010,EMERGENCY,PARTIALLY_RECEIVED,CRITICAL,VND-000486,PRJ-2022-00862,2020-09-18,2021-01-05,2020-10-01,465595.29,0.05,23279.76,488875.05,USD,NET-30,DAP,Lead upon very act perform none beyond.,Katie Anderson,REQ-2023-656116,"54278 Carr Valley, Lake Lisaport, TN 14078",,2020-09-18
