vendor_id,vendor_code,vendor_name,vendor_legal_name,vendor_type,sector_specialization,country,state,city,postal_code,address_line1,address_line2,registration_number,vat_number,tax_id,bank_name,bank_account,swift_code,payment_terms_days,credit_limit_usd,performance_rating,risk_category,prequalification_status,prequalification_expiry_date,iso_certified,hse_rating,minority_owned,small_business,contact_name,contact_email,contact_phone,annual_turnover_usd,years_in_business,created_date,last_updated_date
VND-000001,V00001,Lawrence-Pacheco,"Gonzalez, Santos and Gardner LLC",CONSULTANT,CIVIL,Saudi Arabia,Jeddah,Lake Joshuabury,21427,"Flat 23W
Warner Light",,REG-SA-10872248,VAT886035535474372,TID-553778756,Bank of America,SA456001338908386379,BANKSAXXX,90,447643.28,3.8,LOW,APPROVED,2027-02-26,False,3,True,False,Megan Mcclain,megan.mcclain@henderson.net,(759)540-7816x184,4350859.56,18,2018-10-25,2023-07-24
VND-000002,V00002,"Daniel, Martin and Gray","Cross, Miah and John Ltd.",SUBCONTRACTOR,POWER,UK,England,Lake Jeremyport,90234,0 Alexander Circles,Suite 376,REG-GB-38119557,VAT400590459558308,TID-853573823,Bank of America,GB555931034131647525,BANKGBXXX,60,414588.06,4.6,MEDIUM,APPROVED,2027-03-30,True,4,False,False,Sharon James,sharon.james@lee.co.uk,0116 496 0423,1510110.51,39,2022-08-31,2022-05-27
VND-000003,V00003,"Taylor, Brown and Atkinson","Collins, Palmer and Turner Ltd.",MANUFACTURER,OIL_GAS,UK,Wales,Bartlettfurt,HR1M 2TA,148 Carl Landing,Apt. 957,REG-GB-88461803,VAT549685582146032,TID-488690725,Deutsche Bank,GB436413953767242388,DEUTGBXXX,30,923855.69,4.6,MEDIUM,PENDING,2022-11-09,True,3,False,False,Diane Bond,diane.bond@callahan.com,954-330-3911,1138575.5,36,2017-06-17,2022-10-11
VND-000004,V00004,Brown Inc,Lyons-Price Inc.,CONSULTANT,POWER,USA,Texas,Lake Thomas,77629,03105 Willie Harbors,,REG-US-50056581,VAT819393457153143,TID-645098869,Wells Fargo,US900184514627048281,WELLUSXXX,60,345113.71,3.9,LOW,APPROVED,2027-02-21,True,3,False,False,Shane Henderson,shane.henderson@campos.biz,+44117 496 0829,1143703.27,28,2021-10-30,2023-02-12
VND-000005,V00005,Lee PLC,Powell LLC LLC,SUPPLIER,CIVIL,Saudi Arabia,Riyadh,Port Elaine,S24 3DT,801 Gabriel Oval,,REG-SA-38427073,VAT707196401190494,TID-910959828,Standard Chartered,SA640391171822782489,STANSAXXX,90,108200.27,3.7,LOW,APPROVED,2028-01-12,False,4,False,False,Sophie Glover,sophie.glover@davison-jones.com,+44117 496 0602,252396.45,30,2022-09-26,2023-02-16
VND-000006,V00006,Yu Inc,Parker Group LLC,SUPPLIER,CIVIL,Saudi Arabia,Dammam,South Arthurmouth,09482,1939 Christine Manor,,REG-SA-64634663,VAT206198179165279,TID-204078666,HSBC,SA703105183473829973,HSBCSAXXX,45,222370.12,3.1,LOW,APPROVED,2028-04-08,True,1,True,False,Dr Ann Barrett,dr.ann.barrett@riley.com,+44118 496 0353,2916090.88,32,2022-05-23,2024-06-01
VND-000007,V00007,Fraser-Lee,Ibarra-Suarez LLC,LABOUR_CONTRACTOR,OIL_GAS,UAE,Sharjah,Clarkeport,B8E 2LE,4935 Grace Walk,,REG-AE-32097220,VAT102428284199395,TID-519212169,Barclays,AE173178108013267736,BARCAEXXX,60,111894.29,2.9,MEDIUM,APPROVED,2027-11-19,True,3,False,True,Mrs Rebecca Hale,mrs.rebecca.hale@medina.com,+44(0)161 496 0740,367284.96,32,2017-12-22,2024-07-20
VND-000008,V00008,Anderson-Parker,"Mckee, Gardner and Davenport LLC",LABOUR_CONTRACTOR,OIL_GAS,UAE,Abu Dhabi,Calderonton,47399,158 Dickson Summit,,REG-AE-93131979,VAT572004373044564,TID-805849060,Wells Fargo,AE158208121913619399,WELLAEXXX,45,1615059.56,2.3,HIGH,CONDITIONAL,2021-10-09,True,4,False,False,Carlos Whitney,carlos.whitney@ramos.com,622.460.2563,1525337.38,21,2021-07-18,2024-12-06
VND-000009,V00009,Hart-Matthews,Taylor-Morgan LLC,SUPPLIER,POWER,Saudi Arabia,Dammam,Brennanfort,E4 9LB,5698 Paul Ports Apt. 406,Apt. 561,REG-SA-80993218,VAT851945727914480,TID-977358886,Citibank,SA931838425135427849,CITISAXXX,90,527754.21,1.5,HIGH,EXPIRED,2023-09-20,False,4,False,False,Thomas Bailey,thomas.bailey@johnson.biz,(028) 9018 0514,361840.91,11,2021-03-21,2023-09-06
VND-000010,V00010,Williams-Davies,Sykes PLC LLC,SUBCONTRACTOR,OIL_GAS,Saudi Arabia,Al Khobar,Roseport,DA1M 1JN,00379 Stanley Roads,,REG-SA-30005727,VAT140564014435899,TID-996139578,ABN AMRO,SA190164005242786801,ABNXSAXXX,30,546397.19,3.1,LOW,APPROVED,2028-09-10,False,4,False,False,Maurice Gray,maurice.gray@carroll.com,001-967-263-2016x328,502557.55,13,2019-02-21,2022-10-31
